20	21	21	19	28	29	29	27	26	27	31	35	30	29	29	29	31	34	39	42	38	30	34	46	51	42	34	33	37	38	37	33	29	28	29	29	29	27	24	24	25	27	29	31	30	27	24
23	22	21	20	26	29	31	34	35	31	29	36	32	29	27	30	36	38	38	46	46	46	46	45	40	37	37	37	39	42	41	37	34	34	32	26	25	25	27	31	33	30	28	30	27	20	22
20	21	22	22	27	29	30	37	44	43	41	44	35	39	38	40	44	45	50	58	61	60	60	59	57	53	51	47	48	50	49	44	43	42	40	33	38	36	39	40	38	34	29	27	21	19	24
19	21	23	25	24	26	28	33	41	44	44	50	44	51	55	55	56	53	59	71	71	67	66	62	62	60	59	58	68	65	59	52	53	55	54	49	55	49	47	44	39	34	29	27	24	22	26
20	23	25	24	23	29	31	31	35	39	46	58	59	68	71	70	70	69	73	83	93	92	88	82	80	81	86	88	91	83	71	65	65	71	71	68	68	60	50	43	39	35	33	34	35	27	28
22	24	25	24	29	33	35	36	43	50	56	65	77	85	89	90	94	96	98	105	120	123	123	116	113	115	121	124	115	106	95	90	91	95	93	89	82	73	62	54	50	46	44	44	38	31	33
22	25	27	26	32	34	37	45	62	72	72	72	87	97	103	108	117	123	128	133	139	147	153	150	148	147	150	147	136	128	124	121	120	118	111	105	92	85	77	71	66	57	50	46	32	32	34
24	28	33	33	33	39	45	55	75	88	92	94	107	119	128	135	145	153	159	164	173	181	188	187	187	187	183	176	165	159	154	151	149	145	136	128	115	105	97	89	82	69	57	50	39	35	34
26	32	39	41	42	54	64	69	83	96	110	123	134	147	157	162	173	180	184	189	202	207	210	211	212	214	208	199	198	189	181	176	174	167	161	155	141	129	119	108	96	81	68	60	54	41	33
30	34	42	47	51	65	78	88	107	124	141	152	160	168	181	190	196	202	210	215	221	221	224	229	232	230	225	222	215	210	205	201	197	191	184	178	164	151	139	125	112	97	81	71	62	48	35
39	44	53	59	70	84	99	111	128	143	158	170	180	187	199	206	210	213	220	224	226	229	235	242	245	241	235	229	221	219	213	210	207	202	196	189	174	165	154	140	124	108	96	87	70	55	41
41	50	64	74	81	96	114	127	142	155	169	180	188	195	205	210	212	214	220	223	225	227	234	241	245	242	235	229	227	224	218	216	212	208	201	196	177	170	160	146	130	112	98	90	76	63	48
39	46	60	70	77	93	109	123	138	149	163	175	188	194	204	208	210	212	218	220	223	228	233	237	241	240	237	231	225	219	215	210	207	202	195	188	174	167	156	143	127	110	94	84	68	56	45
36	39	47	52	69	82	96	109	125	136	149	162	172	179	187	193	198	201	207	211	213	218	223	226	229	229	227	222	216	211	204	197	193	185	176	167	157	147	134	121	108	93	75	63	54	43	35
29	34	44	50	59	67	77	90	105	115	126	138	145	152	161	168	174	179	186	189	193	198	207	210	213	213	210	204	198	189	181	174	169	160	149	141	132	122	108	96	88	76	60	49	47	38	29
25	32	41	47	47	51	58	70	85	92	98	108	119	125	134	141	146	152	159	163	168	174	182	183	186	188	186	180	166	160	151	145	140	131	120	112	109	102	90	80	74	67	57	49	44	35	28
31	31	31	29	39	41	46	57	72	76	79	86	91	97	105	112	117	122	129	132	138	143	146	146	147	152	155	152	140	133	124	119	115	106	96	90	82	77	68	60	55	50	45	41	38	30	26
27	27	30	32	43	34	37	51	57	53	58	71	80	79	88	90	91	97	95	101	116	117	118	117	113	111	118	127	116	104	90	82	82	81	80	80	66	59	54	50	44	42	38	30	31	27	23
23	22	24	25	31	28	29	35	41	46	54	61	63	63	68	65	63	69	70	79	85	85	85	83	80	79	85	92	94	84	71	63	60	60	60	60	61	48	46	47	41	35	31	29	27	26	24
22	24	28	29	29	33	35	34	40	51	57	56	54	52	56	51	48	56	60	72	65	66	65	65	64	64	67	72	76	69	58	50	45	44	44	43	51	40	40	47	42	32	29	29	22	24	25
23	29	35	36	26	32	36	34	38	46	46	41	41	39	42	37	38	43	47	56	51	50	51	53	53	51	50	51	62	58	51	43	38	35	35	38	39	33	36	43	40	32	29	27	22	24	24
22	27	31	30	29	30	32	32	34	34	33	31	34	30	33	29	31	34	31	34	40	41	43	46	47	43	39	37	50	48	44	39	34	31	31	33	30	29	32	33	31	33	34	28	25	24	22
20	25	27	23	35	31	29	28	28	27	28	30	32	27	32	30	35	37	31	31	36	36	39	43	43	39	34	31	36	36	35	32	28	26	26	27	30	31	31	26	24	32	38	34	27	25	22
